#ItemCode,ItemName,Price,TaxPrice,MasterPrice
6584,??金??中肥～店内?料 ?令新?海胆?油?味～,264,290,290
6585,?令新?海胆 配????子手卷寿司,264,290,290
6587,店内?料 青紫?叶卷?令新?海胆?油甜?,173,190,190
6588,海胆?油（杯装）,100,110,110
6589,海胆3?,719,790,790
6590,海胆茶碗蒸,391,430,430
6591,炭???配炸蒜,191,210,210
6592,高知?? 乙女?,100,110,110
6593,炙?真??味拉面,419,460,460
6594,生章?,173,190,190
6597,??片手卷寿司,100,110,110
6598,乙女?石?出汁?汁,146,160,160
6599,奢?金??盖?,782,860,860
6600,奢?金??盖?套餐、石?味噌?,900,990,990
6602,海?9?盖?,782,860,860
6603,海?9?盖?套餐、石?味噌?,900,990,990
6604,??乙女?手卷寿司配柚子,137,150,150
6605,?????味乙女?～柚子和?沙拉?～,419,460,460
6606,?典握寿司?惠套餐、茶碗蒸、石?味噌?,1110,1220,1220
6607,草莓&高?布丁芭菲,464,510,510
6608,出汁香味??天???冬面&茶碗蒸～附稻荷寿司2个～,628,690,690
6609,炙???配蛋黄?,137,150,150
6610,炙???配蛋黄?&胡椒,137,150,150
6613,乙女?天??握寿司,137,150,150
6614,活?幼鰤?腹配[幼鰤?子干],228,250,250
6615,???味??,137,150,150
6616,???味赤??,137,150,150
6617,炙?三文?配蛋黄?,137,150,150
6618,炙?三文?配蛋黄?&胡椒,137,150,150
6619,炙?醋?肥青花?,155,170,170
6620,???味?蛋卷,137,150,150
6622,出汁?蛋卷,119,130,130
6623,出汁?蛋卷,119,130,130
6624,活?幼鰤?腹配[幼鰤?子干]?民??意手卷寿司,228,250,250
6625,洋葱天????,191,210,210
6626,炸薯条,210,230,230
6627,黄瓜条配?油沙拉?&蛋黄?,100,110,110
6629,?油?子,191,210,210
6630,金??出汁?油拉面,419,460,460
6631,香草冰淇淋,100,110,110
6634,?豆（杯装）,100,110,110
6635,山?泥（杯装）,100,110,110
6636,炸??,210,230,230
6637,香脆辣油洋葱（杯装）,100,110,110
6639,配料3?套餐 ?豆 山?泥香脆辣油洋葱,200,220,220
6640,炙?真??味拉面～附?加面～,628,690,690
6642,生章?,87,95,95
6643,??煮5???（?卜、?蛋、蒟蒻、海?、竹??肉卷）,537,590,590
6644,??煮（?卜）,119,130,130
6645,??煮（?蛋）,146,160,160
6646,??煮（蒟蒻）,119,130,130
6647,??丸,173,190,190
6648,??煮（竹??肉卷）,100,110,110
6650,今日??煮2???※不能??食材,191,210,210
6652,炙???配蛋黄?,69,75,75
6653,炙???配蛋黄?&胡椒,69,75,75
6654,???味??,69,75,75
6655,???味赤??,69,75,75
6656,炙?三文?配蛋黄?,69,75,75
6657,炙?三文?配蛋黄?&胡椒,69,75,75
6658,炙?醋?肥青花?,78,85,85
6661,???味?蛋卷,69,75,75
6666,青紫?叶卷?碎天??,191,210,210
6667,炙?真??味拉面&茶碗蒸～附稻荷寿司2个～,655,720,720
6684,?豆卷,100,110,110
6686,河童黄瓜卷,100,110,110
6694,牡丹?,391,430,430
6707,果凍果汁(蘋果味),237,260,260
6708,果凍果汁(葡萄味),237,260,260
6710,金??&??2???,100,110,110
6717,金??&??2???,100,110,110
6720,炸?天??卷,173,190,190
6722,?田炸??卷寿司,173,190,190
6723,牛排?金??焦香?油炙?,137,150,150
6724,牛排?金??焦香?油炙?,69,75,75
6728,美味?堡牛肉?握寿司～附番茄?～,191,210,210
6729,口感柔滑的蜂蜜,28,30,30
6740,稻荷寿司,100,110,110
6746,炸薯条,300,330,330
6747,玄天 天然竹??,100,110,110
6755,感? 玉米黄瓜片??卷,100,110,110
6757,???,50,55,55
6760,茶碗蒸,237,260,260
6773,石?味噌?（???）,237,260,260
6795,甜豆腐皮?冬面,355,390,390
6796,??天???冬面,355,390,390
6811,?牛肉,119,130,130
6838,炸牛蒡附柚子胡椒,237,260,260
6842,蛋黄&?豆??卷,100,110,110
6869,柚子胡椒（小袋）,28,30,30
6932,外??用商品新干?餐?（河童寿司号）,1810,1990,1990
6952,芦笋天????,210,230,230
6953,冰?茶碗蒸,237,260,260
6959,冰?茶碗蒸（加??子）,391,430,430
6968,??高?＆日本国?米粉的河粉,391,430,430
6975,100%葡萄汁,173,190,190
6976,100%苹果汁,173,190,190
6996,草莓冰淇淋,146,160,160
6998,,691,760,760
7000,可口可? L,237,260,260
7001,甜瓜?打水 L,237,260,260
7002,可尓必思 L,237,260,260
7003,可尓必思?打水 L,237,260,260
7004,??茶 L,237,260,260
7005,零度可口可? L,237,260,260
7006,爽健美茶 L,237,260,260
7007,姜汁汽水 L,237,260,260
7018,?料酒?,264,290,290
7022,?培芝士蛋?,300,330,330
7023,巧克力蛋?,300,330,330
7024,高?布丁,328,360,360
7025,高???油布丁,328,360,360
7026,金??山堆儿,355,390,390
7027,海?碎山堆儿,355,390,390
7030,??手卷寿司,100,110,110
7031,大?天??手卷寿司,119,130,130
7032,大?天??手卷寿司\n（配蛋黄?）,119,130,130
7065,??出汁?汁茶碗蒸,237,260,260
7075,??肉??寿司,178,195,195
7076,上等炙?煮星?（半身）,178,195,195
7079,不含酒精黑加?橙子口味,446,490,490
7080,不含酒精?檬?酸果酒口味,446,490,490
7085,??三文?肥,114,125,125
7094,煮星?,173,190,190
7099,??子,178,195,195
7101,天然生?,96,105,105
7108,三文?肥,96,105,105
7109,杏仁豆腐 -草莓?乳沙司,328,360,360
7116,海螺,105,115,115
7117,魁蛤,105,115,115
7118,炙?牛五花肉,105,115,115
7119,??肉,96,105,105
7120,??子,105,115,115
7122,肉厚醋?肥青花?押寿司,105,115,115
7127,沙拉?豆??卷,50,55,55
7137,?苹果酒（SWEET）,537,590,590
7138,?苹果酒（DRY）,537,590,590
7188,蛋黄山?泥??卷,119,130,130
7284,天???汁,0,0,0
7285,芥末,0,0,0
7288,山葵?,0,0,0
7329,赤??（配青紫?叶）,100,110,110
7336,山?泥&牛肉?雨煮??卷,119,130,130
7355,山?泥&牛肉?雨煮??卷,60,65,65
7368,石垣?,119,130,130
7388,沙拉配?庵??卜??卷,100,110,110
7416,赤??（配青紫?叶）,50,55,55
7469,清??冬面（平日限定）,173,190,190
7490,沙拉配?庵??卜\n??卷,50,55,55
7498,果凍果汁(桃味),237,260,260
7579,2?金????（??金??、??金??）,100,110,110
7742,米?,100,110,110
7767,三文?,100,110,110
7768,?,100,110,110
7769,北?,100,110,110
7770,煮星?,173,190,190
7771,?蛋卷,100,110,110
7772,金??,100,110,110
7773,??金??,100,110,110
