#ItemCode,ItemName,Price,TaxPrice,MasterPrice
6227,1貫)甘ﾀﾞﾚ胡麻 石垣貝,119,130,130
6231,▼▼さんま食べ比べ,237,260,260
6237,▼▼▼1貫)みなみ鮪中とろ,282,310,310
6238,おこさま寿司&ｶﾙﾋﾟｽM,228,250,250
6239,▼とろサーモン,191,210,210
6240,1貫)炙り焦がし醤油はまち,137,150,150
6242,▼▼▼1貫)塩炙り中とろ,282,310,310
6243,▼つぶ貝,210,230,230
6245,炙りほたて入味噌ラーメン,537,590,590
6246,担々肉味噌ラーメン,446,490,490
6247,メンマ ザク旨ラー油,173,190,190
6248,★大えび天丼・ｱｵｻ汁物,900,990,990
6249,★贅沢ｳﾆｲｸﾗ丼・ｱｵｻ汁物,1882,2070,2070
6252,1貫)かっぱ軍艦ｻｰﾓﾝぶつ,100,110,110
6253,1貫)かっぱ軍艦ｻｰﾓﾝぶつﾏﾖ,100,110,110
6255,かっぱ軍艦かにカマサラダ,100,110,110
6256,▼あじ塩炙り,228,250,250
6258,ﾁｬｰｼｭｰ&ﾒﾝﾏラー油,264,290,290
6259,贅沢大えび天丼,782,860,860
6260,贅沢うにいくら丼,1764,1940,1940
6261,ﾁｮｺﾑｰｽストロベリーソース,391,430,430
6262,ねぎとろにぎり,100,110,110
6266,1貫)うに包み,119,130,130
6267,1貫)いくら包み,100,110,110
6271,サラダ感動コーン軍艦,100,110,110
6272,▼赤貝,210,230,230
6275,ルマンドプレミアムプリン,355,390,390
6277,ミニゼリー（4個）,100,110,110
6281,▼牛カルビ炙り,210,230,230
6282,▼えんがわ,191,210,210
6284,極太ポテト ケチャップ,100,110,110
6285,▼肉厚ﾄﾛ〆さばの押寿司,210,230,230
6290,ルマンドプリンパフェ,446,490,490
6292,1貫)なすの揚げびたし,60,65,65
6293,極太ポテト ペッパーマヨ,100,110,110
6296,極太ポテト ｻﾞｸ旨ラー油,100,110,110
6297,極太ポテトたらこマヨ,100,110,110
6300,ドクターペッパー,182,200,200
6301,1貫)ﾄﾛﾛなす揚げびたし,60,65,65
6305,サラダ納豆軍艦,100,110,110
6310,▼▼▼特盛いくら軍艦,355,390,390
6312,いか天にぎり(マヨ),119,130,130
6314,▼▼いくら,210,230,230
6315,1貫)甘海老大葉包み,100,110,110
6317,まぐろ・サーモン二種,100,110,110
6318,▼とびこ軍艦,191,210,210
6319,▼▼ねぎとろ巻,191,210,210
6320,合鴨ロース,100,110,110
6321,▼鉄火巻,191,210,210
6323,1貫)とろっとｻｰﾓﾝハラス,119,130,130
6324,1貫)甘海老包み,100,110,110
6327,1貫)とり天にぎり,100,110,110
6329,おこさま寿司&GｴｰﾙM,228,250,250
